                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.588,                 4.0067,                 1.0465,                0.51301,                0.98571,                0.55552,                0.44791,                0.62603,                 5.1159,                0.82646,                 0.0886,                 0.0006,                 0.0006
                      2,                  1.075,                0.91528,                0.93029,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,               0.076238,              0.0012376,              0.0012376
                      3,                0.85799,                0.58862,                0.86742,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,               0.063862,              0.0018624,              0.0018624
                      4,                0.84612,                0.54013,                0.86935,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,               0.051474,              0.0024743,              0.0024743
                      5,                0.86605,                0.50436,                0.87406,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,               0.039073,              0.0030733,              0.0030733
                      6,                0.81187,                0.48122,                0.85803,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,               0.026659,              0.0036594,              0.0036594
                      7,                0.84596,                0.51078,                0.86205,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,               0.014233,              0.0042327,              0.0042327
                      8,                0.81842,                0.50858,                0.85797,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,              0.0046535,              0.0046535,              0.0046535
                      9,                0.86489,                 0.5417,                0.86976,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,              0.0046535,              0.0046535,              0.0046535
                     10,                0.84085,                0.50277,                0.87408,                0.00085,                0.02857,                0.00043,                0.00034,                    nan,                    nan,                    nan,               0.004604,               0.004604,               0.004604
                     11,                0.85082,                0.51324,                0.86388,                      1,                0.20111,                 0.2887,                0.20128,                    nan,                    nan,                    nan,              0.0045545,              0.0045545,              0.0045545
                     12,                0.86014,                0.49391,                0.86294,                0.95248,                0.00714,                0.00621,                0.00559,                    nan,                    nan,                    nan,               0.004505,               0.004505,               0.004505
                     13,                 0.8147,                 0.4694,                0.85922,                0.95248,                0.00714,                0.00621,                0.00559,                    nan,                    nan,                    nan,              0.0044555,              0.0044555,              0.0044555
                     14,                 0.8189,                0.47029,                0.84901,                      1,                0.67794,                0.69764,                0.57491,                 0.6471,                0.65788,                0.83414,               0.004406,               0.004406,               0.004406
                     15,                0.76969,                0.44205,                0.86418,                0.99277,                      1,                  0.995,                 0.8648,                0.59391,                 0.4251,                0.82514,              0.0043565,              0.0043565,              0.0043565
